,Review_Rating,ABV,Name,Style
387276,4.0,5.0,Leatherlips IPA,American IPA
542115,2.5,9.3,Terrapin Hoptaneous Combustion,American Double / Imperial IPA
421978,4.5,5.8,Great Lakes Edmund Fitzgerald Porter,American Porter
1472782,3.5,9.0,Imperial Stout,Russian Imperial Stout
1235514,4.5,5.5,Red Brick Pale Ale,American Pale Ale (APA)
666757,1.5,4.7,Landshark Lager,American Adjunct Lager
645000,3.5,11.03,The Czar,Russian Imperial Stout
849485,4.5,6.1,Mission St. India Pale Ale,American IPA
1363224,5.0,8.74,A Little Sumpin' Extra! Ale,American Double / Imperial IPA
1575021,2.5,8.0,Decompression Ale,American Strong Ale
201231,4.0,5.2,Fat Tire Amber Ale,American Amber / Red Ale
642763,4.0,10.3,Maharaja,American Double / Imperial IPA
153042,4.0,9.5,Unearthly (Imperial India Pale Ale),American Double / Imperial IPA
316971,4.0,6.4,LongShot Lemon Pepper Saison,Saison / Farmhouse Ale
152336,3.5,5.4,Phin & Matt's Extraordinary Ale,American Pale Ale (APA)
1135472,4.5,8.0,Pliny The Elder,American Double / Imperial IPA
382984,4.0,6.3,Tuckaleechee Porter,American Porter
1193202,3.0,18.0,120 Minute IPA,American Double / Imperial IPA
891386,4.0,10.5,Double Bastard Ale,American Strong Ale
1120542,4.5,5.4,Smuttynose Shoals Pale Ale,American Pale Ale (APA)
256574,4.0,8.5,Tatonka Stout,American Double / Imperial Stout
1370070,3.0,6.1,Dogtown Pale Ale,American Pale Ale (APA)
159313,3.0,7.3,IPA (India Pale Ale),American IPA
48327,4.0,5.0,Stoudts American Pale Ale,American Pale Ale (APA)
1218084,3.5,5.2,Allagash White,Witbier
368788,4.0,9.0,Don de Dieu,Belgian Strong Pale Ale
409719,4.5,7.5,Tröegs Nugget Nectar,American Amber / Red Ale
324656,3.0,4.74,Pabst Blue Ribbon (PBR),American Adjunct Lager
615876,4.5,7.0,Sculpin India Pale Ale,American IPA
910805,4.0,4.6,Blue Point Blueberry,Fruit / Vegetable Beer
131805,4.0,10.0,Santa's Little Helper,Russian Imperial Stout
591370,4.5,14.5,Bourbon County Brand Stout,American Double / Imperial Stout
613814,4.0,10.0,Victory At Sea Coffee Vanilla Imperial Porter,American Porter
644672,4.0,11.03,The Czar,Russian Imperial Stout
326394,2.5,4.6,Stroh's,American Adjunct Lager
91137,4.5,5.6,Sierra Nevada Pale Ale,American Pale Ale (APA)
1054150,4.0,5.0,Wittekerke,Witbier
900575,4.5,5.4,Stone Pale Ale,American Pale Ale (APA)
899554,4.0,5.9,Stone Smoked Porter,American Porter
546197,4.5,10.5,Schlafly Reserve - Imperial Stout,Russian Imperial Stout
970356,5.0,8.5,Duvel,Belgian Strong Pale Ale
130623,5.0,9.5,2nd Anniversary Double IPA,American Double / Imperial IPA
1165597,4.0,10.0,Burton Baton,American Double / Imperial IPA
441035,4.5,10.0,Brasserie Des Rocs Triple Impériale,Belgian Strong Dark Ale
728833,3.0,6.8,IPA Nectar,American IPA
702478,4.0,7.5,Big Stinky IPA,American IPA
1287155,4.5,6.7,Affligem Blond,Belgian Strong Pale Ale
1458996,4.5,9.4,Ten FIDY (Whiskey Barrel),American Double / Imperial Stout
857291,3.5,6.9,Simcoe Single Hop IPA,American IPA
629189,2.5,11.0,He'Brew Jewbelation 11,American Strong Ale
235792,2.5,7.2,Southampton Imperial Porter,American Porter
1559919,4.0,6.8,Tasmanian Devil,American Strong Ale
467133,4.0,9.0,Double Simcoe IPA,American Double / Imperial IPA
1234807,2.0,5.0,Labatt Blue,American Adjunct Lager
1336400,4.5,6.0,Alpha Klaus Christmas (Xmas) Porter,American Porter
1359297,4.0,7.83,Wilco Tango Foxtrot,American Strong Ale
1445705,3.0,6.8,Inversion IPA,American IPA
348875,2.5,5.0,Coors Extra Gold,American Adjunct Lager
1381820,4.5,8.5,Delirium Tremens,Belgian Strong Pale Ale
1192924,2.5,18.0,120 Minute IPA,American Double / Imperial IPA
989850,5.0,6.6,Wildcat India Pale Ale,American IPA
1174332,4.5,9.0,90 Minute IPA,American Double / Imperial IPA
1361963,3.0,9.7,Undercover Investigation Shut-down Ale,American Strong Ale
150554,3.5,5.2,Porter,American Porter
1284177,1.5,7.5,New Holland Envious,Fruit / Vegetable Beer
825076,4.0,5.6,Funky Brass Monkey (Apricot Wheat),Fruit / Vegetable Beer
824511,4.0,7.58,Indie Pale Ale,American IPA
921172,3.5,5.5,Amber Ale,American Amber / Red Ale
873503,4.5,10.0,Stone 10th Anniversary IPA,American Double / Imperial IPA
1182140,4.0,18.0,Fort,Fruit / Vegetable Beer
1237852,3.5,7.0,Cuvée Des Trolls,Belgian Strong Pale Ale
1555249,4.5,8.5,Hop Wallop,American Double / Imperial IPA
1563696,4.0,4.5,Blanche De Bruxelles / Manneken Pis Belgian White,Witbier
1179268,2.5,8.0,Raison D'etre,Belgian Strong Dark Ale
869256,4.5,7.2,Arrogant Bastard Ale,American Strong Ale
929281,4.0,9.0,Bell's Sparkling Ale,Tripel
