,Review_Rating,ABV,Name,Style
3103,4.0,8.2,Schneider Aventinus,Weizenbock
1128,4.0,9.0,90 Minute IPA,American Double / Imperial IPA
1376,4.0,9.4,Green Flash Imperial India Pale Ale,American Double / Imperial IPA
2023,3.0,16.8,Mephistopheles' Stout,American Double / Imperial Stout
2735,4.5,9.5,Imperial Eclipse Stout - Elijah Craig (12 Year),American Double / Imperial Stout
1525,2.5,8.4,IPA2 (Double India Pale Ale),American Double / Imperial IPA
2156,4.0,8.5,Hop Wallop,American Double / Imperial IPA
2038,4.5,6.0,Oude Gueuze,Gueuze
801,3.0,9.0,Stoudt's Fat Dog (Imperial Oatmeal Stout),American Double / Imperial Stout
3709,4.0,10.0,Robert Johnson's Hellhound On My Ale,American Double / Imperial IPA
3847,4.0,5.2,Rodenbach Classic (Red),Flanders Red Ale
4718,4.5,13.0,Bourbon County Brand Vanilla Stout,American Double / Imperial Stout
4971,3.5,12.0,Bell's Bourbon Barrel Aged Batch 7000,American Double / Imperial Stout
3698,5.0,10.2,Trappist Westvleteren 12,Quadrupel (Quad)
2481,5.0,6.6,Founders Red's Rye PA,Rye Beer
3972,4.0,9.5,XS Imperial India Pale Ale,American Double / Imperial IPA
719,2.0,8.0,Heresy,Russian Imperial Stout
3454,4.0,9.8,Three Philosophers Belgian Style Blend (Quadrupel),Quadrupel (Quad)
4063,4.0,9.0,Lupulin Maximus Imperial IPA,American Double / Imperial IPA
2667,4.0,10.0,Old Viscosity,American Double / Imperial Stout
4942,4.0,10.5,Bell's Expedition Stout,Russian Imperial Stout
3387,3.5,8.8,Tricerahops Double IPA,American Double / Imperial IPA
758,4.5,10.2,Imperial Russian Stout,Russian Imperial Stout
3398,4.5,11.3,Trappistes Rochefort 10,Quadrupel (Quad)
3480,4.0,8.0,Old Heathen Imperial Stout,Russian Imperial Stout
2445,4.5,7.0,Lips Of Faith - Eric's Ale,American Wild Ale
834,4.5,7.5,Barrel Select Batch 1,American Wild Ale
